Year,Food,Food at home,Cereals and bakery products,Cereals and cereal products,Bakery products,"Meats, poultry, fish, and eggs",Beef,Pork,Poultry,Fish and seafood,Eggs,Dairy products,Fruits and vegetables,Fresh fruits,Fresh vegetables,Processed fruits,Processed vegetables,Sugar and other sweets,Fats and oils,Nonalcoholic beverages,Food away from home,Alcoholic beverages,Housing,Shelter,Owned dwellings,Mortgage interest and charges,Property taxes,Maintenance/rep/ins/other,Rented dwellings,"Utilities, fuels, and public services",Natural gas,Electricity,Fuel oil and other fuels,Telephone,Water and other public services,Housekeeping supplies,Laundry and cleaning supplies,Postage and stationery,Household furnishings and equipmen,Major appliances,"Small appliances, misc houseware",Apparel and services,Footwear,Other apparel products and service,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new","Cars and trucks, used",Other vehicles,Gasoline and motor oil,Other vehicle expenses,Vehicle finance charges,Vehicle Maintenance and repairs,Vehicle insurance,Public transportation,Health care,Health insurance,Medical services,Drugs,Entertainment,"Television, radios, sound equipmen","Pets, toys, and playground equipme",Personal care products and services,Education,Tobacco products and smoking supplies
1994,0.133270893,0.081938486,0.012961508,0.004894556,0.008066953,0.02211614,0.00685842,0.004713276,0.004139223,0.002688984,0.000906399,0.008731645,0.013203215,0.00401837,0.004078796,0.002809837,0.002296211,0.003172397,0.002386851,0.0070397,0.051302193,0.008399299,0.30533567,0.171792858,0.105504864,0.057979334,0.027856668,0.019668862,0.054353737,0.066136927,0.008550366,0.026013656,0.002960904,0.020847181,0.00776482,0.011873829,0.00329325,0.003323464,0.040727536,0.004501783,0.002447278,0.049670675,0.00767418,0.007976313,0.182609221,0.082331259,0.042026709,0.038975165,0.001329385,0.02979032,0.059006587,0.007100127,0.020545048,0.020847181,0.01151127,0.053024352,0.024623844,0.017251798,0.008641005,0.04734425,0.016103692,0.008731645,0.011994682,0.013898121,0.007825246
1995,0.133032129,0.082772266,0.013022679,0.004872431,0.008150248,0.022206473,0.006732814,0.004606662,0.004075124,0.002864399,0.000885897,0.008770376,0.013495157,0.004252303,0.004045594,0.002834869,0.002362391,0.003307347,0.002421451,0.007087172,0.050259863,0.008179778,0.308823529,0.175053154,0.110707536,0.062130876,0.027462792,0.021113867,0.052799433,0.064699976,0.007914009,0.025661469,0.00253957,0.020907158,0.00764824,0.01269785,0.003248287,0.003691236,0.041371368,0.004577132,0.00251004,0.050318923,0.008209308,0.00764824,0.177592724,0.077899835,0.035376801,0.041519017,0.001004016,0.029707064,0.059502717,0.00767777,0.019283014,0.021025278,0.010483109,0.05114576,0.0253957,0.015119301,0.008268368,0.047602173,0.016005197,0.009508623,0.011900543,0.013908575,0.007943539
1996,0.13475218,0.082491969,0.012821248,0.004761358,0.00805989,0.021139284,0.00616682,0.004503212,0.004130335,0.002524094,0.000975218,0.008949059,0.014054612,0.004388481,0.004216384,0.003155117,0.002294631,0.003269849,0.002380679,0.007228086,0.052288894,0.008863011,0.308254933,0.173932997,0.108507343,0.060635613,0.026933226,0.020909821,0.053464892,0.067318724,0.008346719,0.026015374,0.003097751,0.022143185,0.007687012,0.013308857,0.003413263,0.004015603,0.038721891,0.004646627,0.002409362,0.050252409,0.008547499,0.006597063,0.183054153,0.080742313,0.034677604,0.044974759,0.00108995,0.031034878,0.059029371,0.007916475,0.018500459,0.020020652,0.012247591,0.050768701,0.023720743,0.015574805,0.008690913,0.052604406,0.016091097,0.009608765,0.014714318,0.01502983,0.007314135
1997,0.130874496,0.078508342,0.012348708,0.004388834,0.007959874,0.020254062,0.006106204,0.004279795,0.003952677,0.002426126,0.000899575,0.00855959,0.012975684,0.004088976,0.003898157,0.002780504,0.002180787,0.003107622,0.002208047,0.006678661,0.052366154,0.008423291,0.307272926,0.17293643,0.107267474,0.060653146,0.026469305,0.020117763,0.054056264,0.065750736,0.008205212,0.024779195,0.002944063,0.022053211,0.007796314,0.012403228,0.003162142,0.003516519,0.041216879,0.004606913,0.002507905,0.047132265,0.00858685,0.00681496,0.176016792,0.074582924,0.033502344,0.039908407,0.001172173,0.029931305,0.060789445,0.007987133,0.018591211,0.02058118,0.010713117,0.050185367,0.02401592,0.014474975,0.008723149,0.049422091,0.015728928,0.008913968,0.014393196,0.015565369,0.007196598
1998,0.12539757,0.072475103,0.011079827,0.003806246,0.00724751,0.018848741,0.005683299,0.003806246,0.003571615,0.002554878,0.000834246,0.007847124,0.012305125,0.003884457,0.003780176,0.002633088,0.001981334,0.00284165,0.002007404,0.006022212,0.052922467,0.008055686,0.305360029,0.174148809,0.110667918,0.064002294,0.026461234,0.02020439,0.051566818,0.062698785,0.007403931,0.024010637,0.002215965,0.02163825,0.007430002,0.012565827,0.003076281,0.003441264,0.04173836,0.00427551,0.002085614,0.043641483,0.007325721,0.007038949,0.172480317,0.077272016,0.03605506,0.039939517,0.001277439,0.026513374,0.057510819,0.008316388,0.016710986,0.019265864,0.011184108,0.049611554,0.023802075,0.014130038,0.009020283,0.045518536,0.013947547,0.00857709,0.010454143,0.015120705,0.007117159
1999,0.123757749,0.071706189,0.011020368,0.003935846,0.007084522,0.018424678,0.005411788,0.003862049,0.003345469,0.002607498,0.000787169,0.00792089,0.012299518,0.003739053,0.003665256,0.002779691,0.002115517,0.002755092,0.002066319,0.005952967,0.05205156,0.007822493,0.296590574,0.172586835,0.111310637,0.062653744,0.027624717,0.021007577,0.049862245,0.058471908,0.00664174,0.022114533,0.001820329,0.020884581,0.007010725,0.01225032,0.002976483,0.003124078,0.036873955,0.004501624,0.002509102,0.042876119,0.007453508,0.007305914,0.172463839,0.081299813,0.04004723,0.040367018,0.000885565,0.025951983,0.055446227,0.007871691,0.01633376,0.018596871,0.009765817,0.048189511,0.02270491,0.013726262,0.009101643,0.046516777,0.014956214,0.008511266,0.010036407,0.015620388,0.007379711
2000,0.124193393,0.072739093,0.010907252,0.00375614,0.007151112,0.019141867,0.005730521,0.004020996,0.003491284,0.00264856,0.000818646,0.007825291,0.012544544,0.003924685,0.003828373,0.002768949,0.002022537,0.002817105,0.001998459,0.006019455,0.0514543,0.008956949,0.296614659,0.171289608,0.110806125,0.063541366,0.027424636,0.019864201,0.048974285,0.059929693,0.007391891,0.021934894,0.002335548,0.021116248,0.007127035,0.011605509,0.003154194,0.003033805,0.037296542,0.004550708,0.00209477,0.044688433,0.008258692,0.0064047,0.178585187,0.082297987,0.0386449,0.042617741,0.001035346,0.031084465,0.054921506,0.007897525,0.015024559,0.018732544,0.010281229,0.049744775,0.023668497,0.013676201,0.010016373,0.044856978,0.014976404,0.008041992,0.01357989,0.015217182,0.007680824
2001,0.119339718,0.069212999,0.010137484,0.003498778,0.006638706,0.018570435,0.005562159,0.003969767,0.003409065,0.002556799,0.000784982,0.007446117,0.011707448,0.00358849,0.003633346,0.002601655,0.001883957,0.002601655,0.001951241,0.005741584,0.050126719,0.007827394,0.291811515,0.170498127,0.111669321,0.064189113,0.0276538,0.019826407,0.047861484,0.062058448,0.009217933,0.022629915,0.002511943,0.020499249,0.007199408,0.011415884,0.002938076,0.002736224,0.032700114,0.003992195,0.001951241,0.039092112,0.006773275,0.005808868,0.171193397,0.080270034,0.037791284,0.041447059,0.001031691,0.028685491,0.053266647,0.008051674,0.014847377,0.018368583,0.008971225,0.048938031,0.023796174,0.01285128,0.0100702,0.043802005,0.014802521,0.007558257,0.01087761,0.014533384,0.006907843
2002,0.114522521,0.066028892,0.009587932,0.003281203,0.006306729,0.017002599,0.004921805,0.003558188,0.003068138,0.002578088,0.000724422,0.006988537,0.011761197,0.00379256,0.00372864,0.002471556,0.001768441,0.002492862,0.001811054,0.005411855,0.048493629,0.00801125,0.283014446,0.16680871,0.110048153,0.063109899,0.026462692,0.020454255,0.046022074,0.057186688,0.00703115,0.020901692,0.001874973,0.020390335,0.006988537,0.011612051,0.002791154,0.002791154,0.032343291,0.004005625,0.002130652,0.037265096,0.006668939,0.005113564,0.165317254,0.078088379,0.037350322,0.039246602,0.001491456,0.026313547,0.0526484,0.008458687,0.014850641,0.019048025,0.008288235,0.050070312,0.02488601,0.012570844,0.010376273,0.044296246,0.014744109,0.007862104,0.011207227,0.0160225,0.006818085
2003,0.109885587,0.064388015,0.009095399,0.003086674,0.006008725,0.016976706,0.005062145,0.003518808,0.002983785,0.00255165,0.00076138,0.006749527,0.011009137,0.003518808,0.003539386,0.002222405,0.001728537,0.002448761,0.001769693,0.005514857,0.045497572,0.00804593,0.27640135,0.162297308,0.108301095,0.060786896,0.027656597,0.019857601,0.044839081,0.057844267,0.008066508,0.021154004,0.002263561,0.019672401,0.006708371,0.01088567,0.002716273,0.002736851,0.030805005,0.004033254,0.001810849,0.033747634,0.006049881,0.005309079,0.160116059,0.076796444,0.042225698,0.033150877,0.001399292,0.027430241,0.047966911,0.007634373,0.012737674,0.018622932,0.007922463,0.049716026,0.025763437,0.012161495,0.009609844,0.04239032,0.015021812,0.007778418,0.010844514,0.016112437,0.005967569
2004,0.110562855,0.064012087,0.008816723,0.002945283,0.00587144,0.016830187,0.005068181,0.003461664,0.002983533,0.002448027,0.000803259,0.007095454,0.010729244,0.003576415,0.003499914,0.002103773,0.001568267,0.002448027,0.001702144,0.000382504,0.046550768,0.008778473,0.266184711,0.152963452,0.101822633,0.056151625,0.026603171,0.019067837,0.042094593,0.055979498,0.00810909,0.020349226,0.002314151,0.018933961,0.006253945,0.011360376,0.002849657,0.002964408,0.0314801,0.003901543,0.002008147,0.034731386,0.006292195,0.005049056,0.149195785,0.064968348,0.033430872,0.030256087,0.001262264,0.03056209,0.045231128,0.006177444,0.012469639,0.018436705,0.008434219,0.049228298,0.025474783,0.012393138,0.009180102,0.042419722,0.015070668,0.007286706,0.011111749,0.017308318,0.005508061
2005,0.105338875,0.058557118,0.007903524,0.002539784,0.00536374,0.013569196,0.004049446,0.002717391,0.002379937,0.002006962,0.000586104,0.006713555,0.009803922,0.003232452,0.003108127,0.001882637,0.001580705,0.002113527,0.001509662,0.0053815,0.046781756,0.00756607,0.269376954,0.156383205,0.105818414,0.058912333,0.027369281,0.019554561,0.041648906,0.056532396,0.008400824,0.02051364,0.002522023,0.018613242,0.006500426,0.010851804,0.002379937,0.002788434,0.031383205,0.003960642,0.001864876,0.033496732,0.005683433,0.005150611,0.14819551,0.062944018,0.034295965,0.027191674,0.00145638,0.035752344,0.041542342,0.005274936,0.011917448,0.016215544,0.007956806,0.047314578,0.02417235,0.012024013,0.009253339,0.042412617,0.015771526,0.007459506,0.009608554,0.016695084,0.005665672
2006,0.105178913,0.05881138,0.007676288,0.002461231,0.005232268,0.013717492,0.004061892,0.002702191,0.002426808,0.002099792,0.000636822,0.006333798,0.010189153,0.003356225,0.003321802,0.001876043,0.001635084,0.002151426,0.001480181,0.005714187,0.046367532,0.00855407,0.281681899,0.166485947,0.112149533,0.064594413,0.028381611,0.01919072,0.044577546,0.058467152,0.008760607,0.021789642,0.002375174,0.0187088,0.006832929,0.011015301,0.002598923,0.002736614,0.029397084,0.004147949,0.001876043,0.032254178,0.005232268,0.004819194,0.146434657,0.058880226,0.030946111,0.026987487,0.000929416,0.038329805,0.040532865,0.005129,0.011841449,0.015249307,0.008691761,0.047606754,0.025214712,0.011531643,0.008846664,0.040911516,0.015627958,0.0070911,0.010068674,0.01528373,0.00562813
2007,0.100775576,0.056935818,0.007558579,0.002349732,0.005208847,0.012767426,0.003549246,0.002464754,0.0023333,0.002004667,0.000706563,0.006359065,0.009859016,0.003319202,0.003122022,0.00184035,0.001577443,0.00203753,0.001495284,0.005471754,0.043839758,0.007509284,0.278024253,0.164694863,0.110585297,0.063919288,0.028081764,0.018584245,0.042755266,0.057132998,0.007887213,0.021410497,0.002481186,0.01823918,0.007131355,0.010499852,0.002300437,0.002497617,0.029527753,0.003795721,0.001659601,0.030908015,0.005373164,0.004535147,0.143908771,0.053304414,0.025830622,0.025748464,0.001725328,0.039173157,0.042590949,0.005011667,0.01212659,0.017598344,0.008840251,0.046879621,0.025386966,0.011650071,0.007903645,0.044332709,0.016218081,0.009201748,0.009661836,0.01552795,0.005307437
2008,0.104299543,0.060608023,0.008207336,0.002751967,0.00545537,0.013695082,0.003868942,0.002638651,0.002573898,0.002072069,0.00082559,0.006960857,0.010635542,0.003593745,0.003431865,0.001877813,0.00173212,0.002088257,0.001683556,0.00553631,0.043675333,0.00718749,0.276961181,0.164842814,0.109431152,0.061935442,0.028458575,0.019037135,0.044096222,0.059070159,0.008595849,0.021902418,0.003108104,0.018243921,0.007219866,0.010586978,0.00239583,0.002525334,0.026289377,0.00330236,0.001829249,0.029154661,0.005083045,0.004014634,0.139281899,0.044598051,0.021125393,0.021287273,0.002169197,0.043950529,0.042428854,0.005050669,0.011833457,0.018017289,0.008304465,0.048175608,0.026758831,0.011768705,0.007802635,0.045893094,0.01677081,0.01139638,0.009971833,0.01693269,0.005131609
2009,0.104883709,0.061774727,0.008328807,0.002847596,0.005497671,0.013842938,0.003719981,0.002765296,0.002534854,0.002222112,0.000724244,0.006682798,0.010797821,0.00362122,0.003440159,0.001942291,0.00181061,0.002320873,0.001678929,0.005547051,0.043108982,0.00716014,0.278093263,0.165835432,0.107698385,0.059157572,0.029809228,0.018731585,0.047075865,0.059997037,0.007950225,0.022665547,0.002320873,0.019126627,0.007917304,0.010847201,0.002567774,0.002353793,0.024788899,0.003193258,0.001530789,0.02839366,0.00531661,0.004098563,0.126051388,0.043734466,0.02134874,0.021463961,0.000905305,0.032689744,0.041742795,0.004625286,0.012065248,0.017694599,0.007884384,0.051454249,0.029381265,0.012114628,0.007999605,0.044327029,0.01604859,0.011357464,0.009810215,0.017579379,0.006254835
2010,0.100952036,0.059691659,0.008268547,0.002717749,0.005550797,0.012913427,0.003574252,0.00245421,0.002273027,0.001927131,0.000757676,0.006259059,0.01118395,0.00382132,0.003458954,0.001861247,0.00204243,0.002174199,0.001696534,0.005484912,0.041260377,0.006786138,0.272713796,0.161615496,0.103389775,0.055195019,0.029878772,0.018315984,0.047766504,0.060284622,0.007247332,0.023273817,0.002305969,0.019403083,0.008054421,0.010080379,0.002470681,0.002174199,0.024163263,0.003442483,0.001762419,0.028001054,0.004990776,0.004298985,0.126449466,0.042627487,0.020078403,0.021709053,0.000840032,0.035116616,0.040585057,0.004002504,0.012962841,0.01663592,0.008120306,0.051999605,0.030158782,0.011892212,0.007988536,0.041243906,0.015713533,0.009981552,0.009586243,0.017690078,0.005962577
2011,0.10471357,0.062231447,0.008609927,0.002837546,0.00577238,0.013490506,0.003615845,0.002626757,0.002497041,0.001961961,0.000810728,0.006599322,0.011593404,0.004004994,0.003632059,0.001880888,0.002075463,0.002334895,0.001783601,0.005853453,0.042482123,0.007393835,0.272453099,0.159307963,0.099687059,0.05162713,0.029915846,0.018160297,0.049113875,0.060431631,0.006810111,0.023073306,0.002545684,0.019879039,0.00812349,0.009971949,0.00235111,0.002107892,0.02454883,0.003145623,0.001443095,0.028213319,0.005204871,0.003664489,0.134467271,0.043276636,0.020511407,0.021711284,0.001037731,0.043049633,0.039790508,0.00377799,0.013052714,0.015938904,0.008366708,0.053718807,0.031164367,0.012452775,0.007928915,0.041703825,0.015841616,0.010231382,0.010280025,0.017041493,0.005691307
2012,0.104134448,0.061874704,0.008489822,0.002872021,0.0056178,0.013444848,0.003566356,0.002619536,0.002509074,0.001988323,0.000836358,0.006611961,0.011535427,0.004118668,0.003566356,0.001798958,0.002051444,0.00231971,0.001798958,0.005838725,0.042259744,0.007116932,0.266482563,0.15608332,0.095565725,0.048398296,0.0289727,0.018194729,0.050276156,0.057566672,0.005665141,0.021903109,0.002161906,0.019551838,0.008284677,0.009626006,0.002445952,0.002146126,0.024932934,0.003108727,0.001546473,0.027394666,0.005475777,0.003629478,0.141991479,0.050654884,0.025863973,0.023922992,0.000883699,0.043490611,0.039293041,0.003519015,0.012845195,0.016064384,0.008552943,0.056114881,0.032523276,0.013239703,0.008126874,0.04110778,0.015448951,0.010225659,0.009910052,0.019046868,0.005239072
